No. ,"Author, Specimen Name ",Comments ,Specimen_Type,Load_History,Bar_Type,Steel_Origin,Bar_Grade,Nominal Diameter,Gauge Length,Corrosion_Method,Cathode_Type,Cleaning_Method,Current Density,Exposure Duration,Solution Concentration,Mass Loss,Corroded Length,Corrosion Penetration Depth,Fy,ln(Fy)
134,"Cobo et al. (2011), R-16-9",,Embedded,None,D,Spain,B500SD,16,200,IC,External lead plate,Chemical,10,893,3.5,7.1,460,0.284,97.64,4.581295359
135,"Cobo et al. (2011), R-16-10",,Embedded,None,D,Spain,B500SD,16,200,IC,External lead plate,Chemical,10,934,3.5,7.43,460,0.297,97.82,4.58317406
136,"Cobo et al. (2011), R-16-11",,Embedded,None,D,Spain,B500SD,16,200,IC,External lead plate,Chemical,10,949,3.5,7.55,460,0.302,94.02,4.543457254
137,"Cobo et al. (2011), R-16-12",,Embedded,None,D,Spain,B500SD,16,200,IC,External lead plate,Chemical,10,996,3.5,7.92,460,0.317,98.17,4.586731579
138,"Cobo et al. (2011), R-16-13",,Embedded,None,D,Spain,B500SD,16,200,IC,External lead plate,Chemical,10,993,3.5,7.9,460,0.316,102.37,4.62855872
139,"Cobo et al. (2011), R-16-14",,Embedded,None,D,Spain,B500SD,16,200,IC,External lead plate,Chemical,10,1007,3.5,8.01,460,0.32,100.47,4.609881774
140,"Cobo et al. (2011), R-16-15",,Embedded,None,D,Spain,B500SD,16,200,IC,External lead plate,Chemical,10,1018,3.5,8.1,460,0.324,92.03,4.522109085
141,"Cobo et al. (2011), R-16-16",,Embedded,None,D,Spain,B500SD,16,200,IC,External lead plate,Chemical,10,1018,3.5,8.1,460,0.324,86.72,4.462630756
142,"Cobo et al. (2011), R-16-17",,Embedded,None,D,Spain,B500SD,16,200,IC,External lead plate,Chemical,10,1071,3.5,8.52,460,0.341,101.18,4.616889775
143,"Cobo et al. (2011), R-16-18",,Embedded,None,D,Spain,B500SD,16,200,IC,External lead plate,Chemical,10,1106,3.5,8.8,460,0.352,86.34,4.458324449
144,"Cobo et al. (2011), R-16-19",,Embedded,None,D,Spain,B500SD,16,200,IC,External lead plate,Chemical,10,1132,3.5,9,460,0.36,94.79,4.551638076
145,"Cobo et al. (2011), R-16-20",,Embedded,None,D,Spain,B500SD,16,200,IC,External lead plate,Chemical,10,1143,3.5,9.09,460,0.364,96.68,4.571375795
146,"Cobo et al. (2011), R-16-21",,Embedded,None,D,Spain,B500SD,16,200,IC,External lead plate,Chemical,10,1152,3.5,9.16,460,0.366,101.21,4.617150444
147,"Cobo et al. (2011), R-16-22",,Embedded,None,D,Spain,B500SD,16,200,IC,External lead plate,Chemical,10,1220,3.5,9.7,460,0.388,97.51,4.579990643
148,"Cobo et al. (2011), R-16-23",,Embedded,None,D,Spain,B500SD,16,200,IC,External lead plate,Chemical,10,1269,3.5,10.09,460,0.404,94.66,4.550262905
149,"Cobo et al. (2011), R-16-24",,Embedded,None,D,Spain,B500SD,16,200,IC,External lead plate,Chemical,10,1303,3.5,10.36,460,0.414,85.55,4.449130046
150,"Cobo et al. (2011), R-16-25",,Embedded,None,D,Spain,B500SD,16,200,IC,External lead plate,Chemical,10,1433,3.5,11.4,460,0.456,92.29,4.524910428
151,"Cobo et al. (2011), R-16-26",,Embedded,None,D,Spain,B500SD,16,200,IC,External lead plate,Chemical,10,1436,3.5,11.42,460,0.457,81.73,4.403360548
152,"Cobo et al. (2011), R-16-27",,Embedded,None,D,Spain,B500SD,16,200,IC,External lead plate,Chemical,10,1479,3.5,11.76,460,0.47,83.26,4.42201141
153,"Cobo et al. (2011), R-16-28",,Embedded,None,D,Spain,B500SD,16,200,IC,External lead plate,Chemical,10,1498,3.5,11.91,460,0.476,87.82,4.475239312
154,"Cobo et al. (2011), R-16-29",,Embedded,None,D,Spain,B500SD,16,200,IC,External lead plate,Chemical,10,1548,3.5,12.31,460,0.492,91.22,4.513253658
155,"Cobo et al. (2011), R-16-30",,Embedded,None,D,Spain,B500SD,16,200,IC,External lead plate,Chemical,10,1553,3.5,12.35,460,0.494,86.56,4.460890492
156,"Cobo et al. (2011), R-16-31",,Embedded,None,D,Spain,B500SD,16,200,IC,External lead plate,Chemical,10,1562,3.5,12.42,460,0.497,90.18,4.501818665
157,"Cobo et al. (2011), R-16-32",,Embedded,None,D,Spain,B500SD,16,200,IC,External lead plate,Chemical,10,1635,3.5,13,460,0.52,88.24,4.480004877
158,"Cobo et al. (2011), R-16-33",,Embedded,None,D,Spain,B500SD,16,200,IC,External lead plate,Chemical,10,1677,3.5,13.34,460,0.534,88.29,4.480618768
159,"Cobo et al. (2011), R-16-34",,Embedded,None,D,Spain,B500SD,16,200,IC,External lead plate,Chemical,10,1715,3.5,13.64,460,0.546,91.63,4.5177211
160,"Cobo et al. (2011), R-16-35",,Embedded,None,D,Spain,B500SD,16,200,IC,External lead plate,Chemical,10,1719,3.5,13.67,460,0.547,89.29,4.491904719
161,"Cobo et al. (2011), R-16-36",,Embedded,None,D,Spain,B500SD,16,200,IC,External lead plate,Chemical,10,1760,3.5,14,460,0.56,87.65,4.473348546
162,"Cobo et al. (2011), R-16-37",,Embedded,None,D,Spain,B500SD,16,200,IC,External lead plate,Chemical,10,1901,3.5,15.12,460,0.605,88.62,4.484388493
163,"Cobo et al. (2011), R-16-38",,Embedded,None,D,Spain,B500SD,16,200,IC,External lead plate,Chemical,10,1912,3.5,15.21,460,0.608,88.84,4.486845457
164,"Cobo et al. (2011), R-16-39",,Embedded,None,D,Spain,B500SD,16,200,IC,External lead plate,Chemical,10,1924,3.5,15.3,460,0.612,89.53,4.494590879
165,"Cobo et al. (2011), R-20-1",Control.,Embedded,None,D,Spain,B500SD,20,200,Control,Control,N/A,0,0,0,0,0,0,172.85,5.152426641
166,"Cobo et al. (2011), R-20-2",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,330,3.5,2.1,460,0.105,153.41,5.03312637
167,"Cobo et al. (2011), R-20-3",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,361,3.5,2.3,460,0.115,157.48,5.059327434
168,"Cobo et al. (2011), R-20-4",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,361,3.5,2.3,460,0.115,154.48,5.04006258
169,"Cobo et al. (2011), R-20-5",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,456,3.5,2.9,460,0.145,169.72,5.134167496
170,"Cobo et al. (2011), R-20-6",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,503,3.5,3.2,460,0.16,171.59,5.145101294
171,"Cobo et al. (2011), R-20-7",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,503,3.5,3.2,460,0.16,167.33,5.119976148
172,"Cobo et al. (2011), R-20-8",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,534,3.5,3.4,460,0.17,168.58,5.127421957
173,"Cobo et al. (2011), R-20-9",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,613,3.5,3.9,460,0.195,155.39,5.045967558
174,"Cobo et al. (2011), R-20-10",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,629,3.5,4,460,0.2,155.25,5.045042997
175,"Cobo et al. (2011), R-20-11",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,754,3.5,4.8,460,0.24,167.68,5.122087046
176,"Cobo et al. (2011), R-20-12",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,802,3.5,5.1,460,0.255,146.09,4.984203704
177,"Cobo et al. (2011), R-20-13",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,817,3.5,5.2,460,0.26,174.56,5.162285624
178,"Cobo et al. (2011), R-20-14",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,864,3.5,5.5,460,0.275,149.97,5.010449652
179,"Cobo et al. (2011), R-20-15",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,908,3.5,5.78,460,0.289,160.44,5.077891532
180,"Cobo et al. (2011), R-20-16",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,954,3.5,6.07,460,0.304,149.2,5.005290052
181,"Cobo et al. (2011), R-20-17",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,1006,3.5,6.4,460,0.32,150.88,5.016475748
182,"Cobo et al. (2011), R-20-18",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,1045,3.5,6.65,460,0.333,154.32,5.039011845
183,"Cobo et al. (2011), R-20-19",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,1116,3.5,7.1,460,0.355,142.23,4.957419244
184,"Cobo et al. (2011), R-20-20",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,1152,3.5,7.33,460,0.367,163.59,5.097343301
185,"Cobo et al. (2011), R-20-21",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,1147,3.5,7.3,460,0.365,161.64,5.085347229
186,"Cobo et al. (2011), R-20-22",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,1185,3.5,7.54,460,0.377,144.42,4.972743085
187,"Cobo et al. (2011), R-20-23",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,1209,3.5,7.69,460,0.385,155.36,5.045720055
188,"Cobo et al. (2011), R-20-24",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,1240,3.5,7.89,460,0.395,157.91,5.062027496
189,"Cobo et al. (2011), R-20-25",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,1251,3.5,7.96,460,0.398,154.55,5.040548311
190,"Cobo et al. (2011), R-20-26",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,1301,3.5,8.28,460,0.414,156.81,5.055031891
191,"Cobo et al. (2011), R-20-27",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,1334,3.5,8.49,460,0.425,132.13,4.883801167
192,"Cobo et al. (2011), R-20-28",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,1352,3.5,8.6,460,0.43,144.47,4.973068671
193,"Cobo et al. (2011), R-20-29",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,1399,3.5,8.9,460,0.445,169.53,5.133046969
194,"Cobo et al. (2011), R-20-30",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,1440,3.5,9.16,460,0.458,152.03,5.024070282
195,"Cobo et al. (2011), R-20-31",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,1487,3.5,9.46,460,0.473,143.79,4.96833417
196,"Cobo et al. (2011), R-20-32",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,1611,3.5,10.25,460,0.513,136.78,4.918378304
197,"Cobo et al. (2011), R-20-33",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,1652,3.5,10.51,460,0.526,145.88,4.98281268
198,"Cobo et al. (2011), R-20-34",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,1754,3.5,11.16,460,0.558,143.04,4.963131829
199,"Cobo et al. (2011), R-20-35",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,1759,3.5,11.19,460,0.56,138.78,4.932888499
200,"Cobo et al. (2011), R-20-36",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,1811,3.5,11.52,460,0.576,150.66,5.015035596
201,"Cobo et al. (2011), R-20-37",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,1894,3.5,12.05,460,0.603,134.78,4.903648564
202,"Cobo et al. (2011), R-20-38",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,1918,3.5,12.2,460,0.61,135.25,4.907094347
203,"Cobo et al. (2011), R-20-39",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,1929,3.5,12.27,460,0.614,132.91,4.889638964
204,"Cobo et al. (2011), R-20-40",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,2017,3.5,12.83,460,0.642,129.59,4.864374106
205,"Cobo et al. (2011), R-20-41",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,2078,3.5,13.22,460,0.661,128.28,4.854210506
206,"Cobo et al. (2011), R-20-42",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,2123,3.5,13.51,460,0.676,146.49,4.986923039
207,"Cobo et al. (2011), R-20-43",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,2232,3.5,14.2,460,0.71,130.87,4.874172901
208,"Cobo et al. (2011), R-20-44",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,2251,3.5,14.32,460,0.716,130.9,4.874440314
209,"Cobo et al. (2011), R-20-45",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,2268,3.5,14.43,460,0.722,131.72,4.880714752
210,"Cobo et al. (2011), R-20-46",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,2303,3.5,14.65,460,0.733,137.42,4.923055279
211,"Cobo et al. (2011), R-20-47",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,2373,3.5,15.1,460,0.755,132.08,4.883410422
212,"Cobo et al. (2011), R-20-48",,Embedded,None,D,Spain,B500SD,20,200,IC,External lead plate,Chemical,10,2727,3.5,17.35,460,0.868,124.61,4.825188017
213,"Zhang et al. (2012), At1",Control.,Embedded,None,P,China,HRB250,6.5,200,Control,Control,N/A,0,0,0,0,0,0,8.67,2.160214752
214,"Zhang et al. (2012), At2",Extracted from RC concrete beams from inland building - 30+ years old.,Embedded,SLS,P,China,HRB250,6.5,200,N,Internal carbon steel,Chemical,0.84,10958,3.5,17.1,400,0.278,6.89,1.930506404
215,"Zhang et al. (2012), At3",Extracted from RC concrete beams from inland building - 30+ years old.,Embedded,SLS,P,China,HRB250,6.5,200,N,Internal carbon steel,Chemical,1.5,10958,3.5,29.4,400,0.478,5.55,1.713437502
216,"Zhang et al. (2012), At4",Extracted from RC concrete beams from inland building - 30+ years old.,Embedded,SLS,P,China,HRB250,6.5,200,N,Internal carbon steel,Chemical,0.87,10958,3.5,17.6,400,0.286,6.49,1.869954317
217,"Zhang et al. (2012), At5",Extracted from RC concrete beams from inland building - 30+ years old.,Embedded,SLS,P,China,HRB250,6.5,200,N,Internal carbon steel,Chemical,1.14,10958,3.5,22.7,400,0.369,6.26,1.834659304
218,"Zhang et al. (2012), At6",Extracted from RC concrete beams from inland building - 30+ years old.,Embedded,SLS,P,China,HRB250,6.5,200,N,Internal carbon steel,Chemical,1.19,10958,3.5,23.7,400,0.385,6.79,1.915156347
219,"Zhang et al. (2012), At7",Extracted from RC concrete beams from inland building - 30+ years old.,Embedded,SLS,P,China,HRB250,6.5,200,N,Internal carbon steel,Chemical,1.11,10958,3.5,22.2,400,0.361,6.36,1.85065711
220,"Zhang et al. (2012), At8",Extracted from RC concrete beams from inland building - 30+ years old.,Embedded,SLS,P,China,HRB250,6.5,200,N,Internal carbon steel,Chemical,1.46,10958,3.5,28.6,400,0.465,5.74,1.747981722
221,"Zhang et al. (2012), At9",Extracted from RC concrete beams from inland building - 30+ years old.,Embedded,SLS,P,China,HRB250,6.5,200,N,Internal carbon steel,Chemical,1.45,10958,3.5,28.5,400,0.463,5.51,1.70710894
222,"Zhang et al. (2012), At10",Extracted from RC concrete beams from inland building - 30+ years old.,Embedded,SLS,P,China,HRB250,6.5,200,N,Internal carbon steel,Chemical,1.3,10958,3.5,25.7,400,0.418,5.74,1.746936426
223,"Zhang et al. (2012), At11",Extracted from RC concrete beams from inland building - 30+ years old.,Embedded,SLS,P,China,HRB250,6.5,200,N,Internal carbon steel,Chemical,0.8,10958,3.5,16.2,400,0.263,6.44,1.86299427
224,"Zhang et al. (2012), At12",Extracted from RC concrete beams from inland building - 30+ years old.,Embedded,SLS,P,China,HRB250,6.5,200,N,Internal carbon steel,Chemical,0.86,10958,3.5,17.4,400,0.283,6.65,1.894165625
225,"Zhang et al. (2012), At13",Extracted from RC concrete beams from inland building - 30+ years old.,Embedded,SLS,P,China,HRB250,6.5,200,N,Internal carbon steel,Chemical,1,10958,3.5,20.2,400,0.328,6.49,1.870878674
226,"Zhang et al. (2012), At14",Extracted from RC concrete beams from inland building - 30+ years old.,Embedded,SLS,P,China,HRB250,6.5,200,N,Internal carbon steel,Chemical,1.18,10958,3.5,23.5,400,0.382,5.71,1.741342983
227,"Zhang et al. (2012), At15",Extracted from RC concrete beams from inland building - 30+ years old.,Embedded,SLS,P,China,HRB250,6.5,200,N,Internal carbon steel,Chemical,0.77,10958,3.5,15.6,400,0.254,6.9,1.931086534
228,"Zhang et al. (2012), At16",Extracted from RC concrete beams from inland building - 30+ years old.,Embedded,SLS,P,China,HRB250,6.5,200,N,Internal carbon steel,Chemical,1.18,10958,3.5,23.5,400,0.382,6.64,1.892810713
229,"Zhang et al. (2012), At17",Extracted from RC concrete beams from inland building - 30+ years old.,Embedded,SLS,P,China,HRB250,6.5,200,N,Internal carbon steel,Chemical,0.94,10958,3.5,18.9,400,0.307,6.9,1.931086534
230,"Zhang et al. (2012), At18",Extracted from RC concrete beams from inland building - 30+ years old.,Embedded,SLS,P,China,HRB250,6.5,200,N,Internal carbon steel,Chemical,0.79,10958,3.5,16,400,0.26,7.64,2.033659349
231,"Zhang et al. (2012), At19",Extracted from RC concrete beams from inland building - 30+ years old.,Embedded,SLS,P,China,HRB250,6.5,200,N,Internal carbon steel,Chemical,0.92,10958,3.5,18.5,400,0.301,7.64,2.033135789
232,"Zhang et al. (2012), At20",Extracted from RC concrete beams from inland building - 30+ years old.,Embedded,SLS,P,China,HRB250,6.5,200,N,Internal carbon steel,Chemical,0.82,10958,3.5,16.6,400,0.27,7.87,2.063566193
233,"Zhang et al. (2012), At21",Extracted from RC concrete beams from inland building - 30+ years old.,Embedded,SLS,P,China,HRB250,6.5,200,N,Internal carbon steel,Chemical,1.13,10958,3.5,22.5,400,0.366,7.12,1.962486288
234,"Zhang et al. (2012), At22",Extracted from RC concrete beams from inland building - 30+ years old.,Embedded,SLS,P,China,HRB250,6.5,200,N,Internal carbon steel,Chemical,0.97,10958,3.5,19.6,400,0.319,6.7,1.901510333
235,"Zhang et al. (2012), At23",Extracted from RC concrete beams from inland building - 30+ years old.,Embedded,SLS,P,China,HRB250,6.5,200,N,Internal carbon steel,Chemical,0.89,10958,3.5,18,400,0.293,7.25,1.981277293
236,"Zhang et al. (2012), At24",Extracted from RC concrete beams from inland building - 30+ years old.,Embedded,SLS,P,China,HRB250,6.5,200,N,Internal carbon steel,Chemical,0.95,10958,3.5,19.2,400,0.312,7.06,1.95486989
237,"Zhang et al. (2012), At25",Extracted from RC concrete beams from inland building - 30+ years old.,Embedded,SLS,P,China,HRB250,6.5,200,N,Internal carbon steel,Chemical,1.01,10958,3.5,20.3,400,0.33,6.77,1.912648787
238,"Zhang et al. (2012), At26",Extracted from RC concrete beams from inland building - 30+ years old.,Embedded,SLS,P,China,HRB250,6.5,200,N,Internal carbon steel,Chemical,0.97,10958,3.5,19.5,400,0.317,8.09,2.090134171
239,"Zhang et al. (2012), At27",Extracted from RC concrete beams from inland building - 30+ years old.,Embedded,SLS,P,China,HRB250,6.5,200,N,Internal carbon steel,Chemical,1,10958,3.5,20.2,400,0.328,7.28,1.984856099
240,"Zhang et al. (2012), At28",Extracted from RC concrete beams from inland building - 30+ years old.,Embedded,SLS,P,China,HRB250,6.5,200,N,Internal carbon steel,Chemical,0.87,10958,3.5,17.6,400,0.286,7.78,2.051684865
241,"Zhang et al. (2012), At29",Extracted from RC concrete beams from inland building - 30+ years old.,Embedded,SLS,P,China,HRB250,6.5,200,N,Internal carbon steel,Chemical,1.52,10958,3.5,29.7,400,0.483,5.7,1.741167683
242,"Zhang et al. (2012), At30",Extracted from RC concrete beams from inland building - 30+ years old.,Embedded,SLS,P,China,HRB250,6.5,200,N,Internal carbon steel,Chemical,1.29,10958,3.5,25.5,400,0.414,5.86,1.768661418
243,"Zhang et al. (2012), At31",Extracted from RC concrete beams from inland building - 30+ years old.,Embedded,SLS,P,China,HRB250,6.5,200,N,Internal carbon steel,Chemical,1.05,10958,3.5,21,400,0.341,6.28,1.837847573
244,"Zhang et al. (2012), At32",Extracted from RC concrete beams from inland building - 30+ years old.,Embedded,SLS,P,China,HRB250,6.5,200,N,Internal carbon steel,Chemical,0.89,10958,3.5,18,400,0.293,6.62,1.89009537
245,"Zhang et al. (2012), At33",Extracted from RC concrete beams from inland building - 30+ years old.,Embedded,SLS,P,China,HRB250,6.5,200,N,Internal carbon steel,Chemical,1.09,10958,3.5,21.8,400,0.354,6.1,1.807960849
246,"Zhang et al. (2012), At34",Extracted from RC concrete beams from inland building - 30+ years old.,Embedded,SLS,P,China,HRB250,6.5,200,N,Internal carbon steel,Chemical,0.94,10958,3.5,19,400,0.309,6.76,1.911170808
247,"Zhang et al. (2012), At35",Extracted from RC concrete beams from inland building - 30+ years old.,Embedded,SLS,P,China,HRB250,6.5,200,N,Internal carbon steel,Chemical,1.34,10958,3.5,26.5,400,0.431,5.39,1.684174259
248,"Zhang et al. (2012), At36",Extracted from RC concrete beams from inland building - 30+ years old.,Embedded,SLS,P,China,HRB250,6.5,200,N,Internal carbon steel,Chemical,0.81,10958,3.5,16.4,400,0.267,7.74,2.046789209
249,"Zhang et al. (2012), At37",Extracted from RC concrete beams from inland building - 30+ years old.,Embedded,SLS,P,China,HRB250,6.5,200,N,Internal carbon steel,Chemical,1.03,10958,3.5,20.7,400,0.336,7.31,1.989243274
250,"Zhang et al. (2012), At38",Extracted from RC concrete beams from inland building - 30+ years old.,Embedded,SLS,P,China,HRB250,6.5,200,N,Internal carbon steel,Chemical,0.85,10958,3.5,17.2,400,0.28,7.41,2.002965383
251,"Zhang et al. (2012), At39",Extracted from RC concrete beams from inland building - 30+ years old.,Embedded,SLS,P,China,HRB250,6.5,200,N,Internal carbon steel,Chemical,0.84,10958,3.5,17.1,400,0.278,7.28,1.984856099
252,"Zhang et al. (2012), At40",Extracted from RC concrete beams from inland building - 30+ years old.,Embedded,SLS,P,China,HRB250,6.5,200,N,Internal carbon steel,Chemical,0.93,10958,3.5,18.7,400,0.304,6.86,1.925561659
253,"Zhang et al. (2012), At41",Extracted from RC concrete beams from inland building - 30+ years old.,Embedded,SLS,P,China,HRB250,6.5,200,N,Internal carbon steel,Chemical,1.14,10958,3.5,22.7,400,0.369,5.73,1.745540995
254,"Zhang et al. (2012), At42",Extracted from RC concrete beams from inland building - 30+ years old.,Embedded,SLS,P,China,HRB250,6.5,200,N,Internal carbon steel,Chemical,1.61,10958,3.5,31.2,400,0.507,5.5,1.704020555
255,"Zhang et al. (2012), At43",Extracted from RC concrete beams from inland building - 30+ years old.,Embedded,SLS,P,China,HRB250,6.5,200,N,Internal carbon steel,Chemical,1.29,10958,3.5,25.5,400,0.414,6.39,1.855047208
256,"Zhang et al. (2012), At44",Extracted from RC concrete beams from inland building - 30+ years old.,Embedded,SLS,P,China,HRB250,6.5,200,N,Internal carbon steel,Chemical,1.38,10958,3.5,27.2,400,0.442,6.31,1.842294143
